,AAPL,FB,LNKD,AMZN,GOOG,MSFT,BABA
2016-04-29,94.4519016219,116.221702492,39.1100181,603.542701543,692.83012181,50.0007021007,79.0999046999
2016-04-28,97.8973000773,109.276299386,119.436898587,607.124307554,707.806128966,51.0534991135,77.7371020871
2016-04-27,104.364098014,109.153302393,123.168499639,617.448705569,710.004516865,51.5754991355,78.7243011143
2016-04-26,105.101702022,110.517898418,121.111103631,627.401113201,724.796325646,52.2523011423,78.9620961221
2016-04-25,105.714500035,111.001298441,120.057297607,621.923901424,717.531318761,51.7882990083,82.5899016999
2016-04-22,106.004701035,113.866502427,121.106899647,631.697300697,760.918716779,55.9072991273,83.4799016999
2016-04-21,107.178097048,112.837298417,116.748699429,633.804490815,754.285084615,55.6937001037,83.9099016999
2016-04-20,106.981304071,112.724301434,115.049297629,629.313525414,755.653694724,56.4856990957,82.1599016999
2016-04-19,107.547103067,110.875297425,117.789499789,636.101676752,768.496286886,56.5520990921,81.7099046999
2016-04-18,109.926298076,110.058899419,117.061101451,626.028915139,760.654301654,55.7261020761,81.6699036999
2016-04-15,112.177498078,111.081896242,33.8000131,621.046300296,753.540912341,55.4421010821,82.3099036999
2016-04-14,112.118501079,109.79050128,113.783703554,615.386107566,753.405072685,55.4334980835,82.3399016999
2016-04-13,110.485102045,125.26991566,109.638101948,603.353083183,744.351728262,54.7241020741,80.5599036999
2016-04-12,109.034297014,123.64991266,25.4000191,595.80029287,737.01947692,54.3981010881,80.4099016999
2016-04-11,108.669304009,125.28991166,24.5400181,594.373075773,740.212925063,54.5132980933,80.1699036999
2016-04-08,108.558701019,113.997499358,112.542100112,591.181692752,741.420730141,54.5464990865,80.3099036999
2016-04-07,111.016699057,114.095899386,114.915500166,602.536517457,746.501302811,55.2280991081,81.3799026999
2016-04-06,109.857698048,112.485901266,113.976900297,585.819114679,738.142088342,54.6545010945,80.0199026999
2016-04-05,111.193903074,112.713903164,116.082898773,593.147901958,745.340478051,55.5485001185,81.7799046999
2016-04-04,110.02949804,116.476098416,115.873097243,598.680900181,749.95947305,55.6953001253,81.4299056999
2016-04-01,109.031098041,114.365498266,115.202098852,593.223514583,745.064712115,55.3499001199,81.7299016999
