,AAPL,FB,LNKD,AMZN,GOOG,MSFT,BABA
2016-04-29,96.5778965779,111.801911802,114.030514031,599.776699777,722.996622997,50.7122507123,78.0747780748
2016-04-28,96.6372966373,106.087406087,113.873213873,600.352000352,717.413017413,50.7617507618,78.1264781265
2016-04-27,104.987404987,111.702911703,113.784113784,600.287100287,718.933218933,52.4414524415,78.1495781496
2016-04-26,106.101706102,111.795311795,113.624613625,599.51049951,731.313731314,52.4854524855,78.1374781375
2016-04-25,104.966504967,111.844811845,113.498113498,598.766898767,735.560835561,52.5030525031,82.8322828323
2016-04-22,104.853204853,111.878911879,113.385913386,597.649297649,748.537548538,54.6667546668,82.9081829082
2016-04-21,104.742104742,111.825011825,113.24951325,596.783596784,748.848848849,54.6480546481,78.1506781507
2016-04-20,109.163009163,111.794211794,113.17031317,595.818895819,748.702548703,54.6326546327,78.0505780506
2016-04-19,110.445610446,111.768911769,113.125213125,593.68049368,748.504548505,54.6040546041,78.0076780077
2016-04-18,110.535810536,111.810711811,113.025113025,593.803693804,748.37034837,54.5732545733,77.9757779758
2016-04-15,110.573210573,111.891011891,112.95031295,592.821392821,748.110748111,54.5556545557,77.9427779428
2016-04-14,109.960509961,111.920711921,112.849112849,592.188892189,747.861047861,54.5413545414,77.8866778867
2016-04-13,109.887909888,111.972411972,112.841412841,591.348491348,735.528935529,54.525954526,77.8250778251
2016-04-12,109.869209869,112.02961203,112.911812912,590.598290598,745.179245179,54.5237545238,77.823977824
2016-04-11,109.901109901,112.197912198,112.993212993,590.246290246,747.41994742,54.5270545271,77.8283778284
2016-04-08,110.695310695,112.247412247,113.098813099,590.758890759,746.107646108,54.5292545293,77.8415778416
2016-04-07,110.751410751,112.151712152,113.115313115,591.52999153,733.777733778,54.5292545293,77.8503778504
2016-04-06,110.764610765,112.054912055,113.075713076,591.624591625,734.768834769,54.5171545172,77.812977813
2016-04-05,110.858110858,112.00981201,113.06031306,593.034793035,749.215149215,54.5160545161,77.8294778295
2016-04-04,110.901010901,111.930611931,113.003113003,593.481393481,749.142549143,54.4962544963,77.7513777514
2016-04-01,110.766810767,109.796609797,112.933812934,594.922394922,743.484143484,54.4731544732,77.6754776755
