,AAPL,FB,LNKD,AMZN,GOOG,MSFT,BABA
2016-04-29,96.9045804709,111.429431913,113.846434648,610.67689713,708.788475714,51.1088497931,78.2080549133
2016-04-28,96.6321153951,106.626097715,114.409270507,612.827671754,704.885039417,51.0386315063,78.4525913789
2016-04-27,104.815521974,111.097548058,113.256327547,612.486071451,706.404974731,52.3077320858,78.332069566
2016-04-26,104.830864275,111.803840321,112.642334079,610.514339162,731.532551997,52.461919658,78.2300146647
2016-04-25,105.10969423,111.589571065,113.587123651,611.071696373,736.38448663,51.696635626,82.6376251989
2016-04-22,105.844432612,111.575562403,113.472087754,608.178049737,752.755013451,54.5450836312,82.4709605444
2016-04-21,105.084330225,111.549678342,113.996546781,611.064906478,751.391253723,54.6195014342,78.542751309
2016-04-20,105.299431436,111.455158729,113.68718527,610.072223672,749.133074101,54.4488104577,78.2949908357
2016-04-19,110.676429312,111.376499108,112.95245362,607.756253518,750.122117665,54.3942965146,78.1671366429
2016-04-18,110.830295438,111.451312923,113.316230376,608.057289869,746.823619292,54.3139469556,78.1555717402
2016-04-15,110.855555524,111.574957461,112.219336752,606.638932408,748.879641087,54.44212259,78.0533359575
2016-04-14,110.037203882,111.602653958,113.878647806,605.687431398,749.517028716,54.3708553726,77.9249161614
2016-04-13,110.001816898,111.558528443,112.596315702,604.41908901,735.836936352,54.378215762,77.9322941596
2016-04-12,109.7876267,111.573556016,112.713473871,606.030332141,748.875856507,54.3254754073,77.9050408039
2016-04-11,109.931691436,111.612940027,112.796210989,604.132549168,749.750249538,54.4908970591,78.0438904445
2016-04-08,110.820858929,111.651871912,113.103551842,605.7435455,750.393245535,54.4143635644,77.8256822234
2016-04-07,111.026754283,111.71069758,113.034107492,609.007122574,734.780748205,54.4304069776,78.0350926591
2016-04-06,111.248458165,111.794719904,112.59608879,606.639645447,739.18652988,54.3784867944,78.0504931486
2016-04-05,111.469776039,111.902335986,112.718880608,607.514348626,745.546229958,54.4615509258,78.0147618389
2016-04-04,111.308421584,111.851433305,113.843390068,609.139053185,748.920962396,54.2811036727,77.7856576326
2016-04-01,111.092533952,110.695353818,112.257901586,610.727771524,743.472202784,54.2975443743,77.8612290938
