,AAPL,FB,LNKD,AMZN,GOOG,MSFT,BABA
2016-04-29,[ 96.03493688],[ 111.3520675],[ 122.40438336],[ 621.14570469],[ 694.39538994],[ 50.62916824],[ 79.38177521]
2016-04-28,[ 98.15047519],[ 104.84649271],[ 116.2569696],[ 614.55500555],[ 686.46458636],[ 52.06317986],[ 77.69562456]
2016-04-27,[ 105.40322861],[ 111.87519998],[ 119.23326292],[ 634.26642358],[ 708.21598278],[ 52.47364865],[ 78.2577655]
2016-04-26,[ 106.70749182],[ 109.35031978],[ 118.39432454],[ 619.27483358],[ 737.4047663],[ 53.32594437],[ 80.80545841]
2016-04-25,[ 106.53336803],[ 112.26290907],[ 108.56296083],[ 609.10391958],[ 746.37711061],[ 52.61935054],[ 84.83145885]
2016-04-22,[ 106.88976607],[ 112.73312278],[ 117.23073917],[ 616.48901026],[ 762.15073454],[ 53.54047963],[ 83.1998649]
2016-04-21,[ 104.61854892],[ 110.23377603],[ 111.07400898],[ 609.44044731],[ 756.61468762],[ 54.33298654],[ 80.44954826]
2016-04-20,[ 103.81734289],[ 110.36005057],[ 115.78397228],[ 594.32771616],[ 736.04108911],[ 54.13970958],[ 76.53838183]
2016-04-19,[ 110.49363927],[ 111.70490737],[ 112.34062469],[ 615.42038229],[ 748.24480219],[ 55.71590928],[ 78.34910238]
2016-04-18,[ 106.40707376],[ 110.59023436],[ 117.93277148],[ 618.5285635],[ 742.07508565],[ 54.11456721],[ 76.53990735]
2016-04-15,[ 108.45485327],[ 111.59784603],[ 108.4954381],[ 608.12762233],[ 755.16021949],[ 54.14874842],[ 77.85713618]
2016-04-14,[ 110.34672116],[ 112.50790313],[ 104.26225089],[ 611.16263867],[ 754.87896196],[ 53.48867953],[ 76.69758587]
2016-04-13,[ 110.02275534],[ 112.33669052],[ 109.06603322],[ 632.83830916],[ 738.7683971],[ 54.79083326],[ 79.15927884]
2016-04-12,[ 109.64176786],[ 110.68237767],[ 119.65839408],[ 614.00128437],[ 733.8406969],[ 53.94845179],[ 77.58579229]
2016-04-11,[ 108.96044071],[ 111.83543545],[ 110.1108249],[ 608.01921425],[ 753.56925146],[ 54.31007227],[ 77.10793563]
2016-04-08,[ 113.37791513],[ 114.70746209],[ 119.53744042],[ 600.70164432],[ 736.83725616],[ 54.63009641],[ 78.06656723]
2016-04-07,[ 113.23608452],[ 113.70298011],[ 117.74718341],[ 603.40590473],[ 772.56494806],[ 53.37118091],[ 77.95758815]
2016-04-06,[ 113.10994709],[ 111.65047924],[ 109.44091219],[ 595.86699209],[ 745.46976647],[ 53.5492578],[ 77.95531397]
2016-04-05,[ 112.08830982],[ 112.70498177],[ 115.73208824],[ 598.30154451],[ 741.04113429],[ 54.26631644],[ 79.68885447]
2016-04-04,[ 112.29205652],[ 112.74065768],[ 108.60887725],[ 616.551787],[ 736.03807826],[ 54.19525571],[ 75.07558338]
2016-04-01,[ 110.02784073],[ 112.83054243],[ 114.62981393],[ 613.47062267],[ 741.81913413],[ 55.7112136],[ 77.95553113]
